station_id,variable,proposed_value,units,description,category,basis,source,confidence,notes
US-Ha2,WatFreez_Th,-8,degC,Temperature threshold for freezing of soil water,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,dz_ice,0.54,mm/h,Freezing-layer depth growth rate,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,snow_alb.dir_vis,0.7,-,Initial snow albedo - direct visible,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,Initial condition; evolves with snow age.
US-Ha2,snow_alb.dif_vis,0.7,-,Initial snow albedo - diffuse visible,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,snow_alb.dir_nir,0.7,-,Initial snow albedo - direct near-infrared,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,snow_alb.dif_nir,0.7,-,Initial snow albedo - diffuse near-infrared,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,e_sno,0.97,-,Snow surface emissivity,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,SPAR,2,-,"Soil hydraulic parameterisation: 1 = van Genuchten, 2 = Saxton-Rawls",soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Saxton & Rawls (2006) SSSAJ 70:1569-1578,tc_model_description,Choice of scheme is prescribed; the texture it consumes is site data.
US-Ha2,Kfc,0.2,mm/h,Drainage rate defining field capacity,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,Phy,10000,kPa,Matric potential defining the hygroscopic (residual) water content,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,Zs,[0 10 20 50 100 150 200 300 400 500 600 700 800 1000],mm,Soil layer interface depths; length must equal ms+1,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,13 layers to 1 m. CLAUDE.md 6 flags 1 m as TOO SHALLOW for deep-rooted forest - deepen per site (often 2-5 m) and keep ZR95_H <= the deepest layer.
US-Ha2,Zdes,10,mm,Depth of the soil layer contributing to bare-soil evaporation,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,Zinf,10,mm,Depth of the infiltration control layer,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,Zbio,250,mm,Depth of the biologically active soil layer,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,Oice,0,-,Initial soil ice content,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,In_max_urb,5,mm,Maximum interception storage on urban surfaces,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Inactive (Curb = 0).
US-Ha2,In_max_rock,0.1,mm,Maximum interception storage on rock surfaces,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Inactive (Crock = 0).
US-Ha2,fpr,1,-,Fraction of precipitation reaching the cell,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,SvF,1,-,Sky view factor,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,"1 = flat, unobstructed horizon. Revisit for steep/valley terrain."
US-Ha2,SN,0,-,Stream identifier,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Slo_pot,0,fraction dy/dx,Slope of the hydraulic potential per soil layer,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Ared,1,-,Area reduction factor due to rock content (1 - Frock),domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,aR,1,-,Anisotropy ratio of hydraulic conductivity (Kh/Kv),domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,cellsize,1,m^2,Grid cell size for the plot-scale configuration,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Kbot,NaN,mm/h,Hydraulic conductivity at the bedrock lower boundary,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = free drainage. CLAUDE.md 6 warns this is WRONG for shallow-water-table or riparian sites.
US-Ha2,Krock,NaN,mm/h,Hydraulic conductivity of fractured rock,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,a_dis,NaN,-,Rainfall disaggregation parameter,forcing_options,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off; forcing is already hourly.
US-Ha2,pow_dis,NaN,-,Rainfall disaggregation exponent,forcing_options,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off.
